
 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2019-06-12                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2013-08-18 18:00:00.000 230       -20.00
2013-08-18 19:00:00.000 230       -22.00
2013-08-18 20:00:00.000 230       -20.00
2013-08-18 21:00:00.000 230       -17.00
2013-08-18 22:00:00.000 230       -15.00
2013-08-18 23:00:00.000 230       -13.00
2013-08-19 00:00:00.000 231       -13.00
2013-08-19 01:00:00.000 231       -14.00
2013-08-19 02:00:00.000 231       -13.00
2013-08-19 03:00:00.000 231       -10.00
2013-08-19 04:00:00.000 231        -6.00
2013-08-19 05:00:00.000 231        -3.00
2013-08-19 06:00:00.000 231        -2.00
2013-08-19 07:00:00.000 231        -2.00
2013-08-19 08:00:00.000 231        -3.00
2013-08-19 09:00:00.000 231        -4.00
2013-08-19 10:00:00.000 231        -5.00
2013-08-19 11:00:00.000 231        -6.00
2013-08-19 12:00:00.000 231        -8.00
2013-08-19 13:00:00.000 231       -10.00
2013-08-19 14:00:00.000 231       -14.00
2013-08-19 15:00:00.000 231       -16.00
2013-08-19 16:00:00.000 231       -14.00
2013-08-19 17:00:00.000 231       -13.00
2013-08-19 18:00:00.000 231       -14.00
2013-08-19 19:00:00.000 231       -13.00
2013-08-19 20:00:00.000 231       -12.00
2013-08-19 21:00:00.000 231       -13.00
2013-08-19 22:00:00.000 231       -13.00
2013-08-19 23:00:00.000 231       -11.00
2013-08-20 00:00:00.000 232       -10.00
2013-08-20 01:00:00.000 232       -10.00
2013-08-20 02:00:00.000 232        -8.00
2013-08-20 03:00:00.000 232        -6.00
2013-08-20 04:00:00.000 232        -5.00
2013-08-20 05:00:00.000 232        -4.00
2013-08-20 06:00:00.000 232        -4.00
2013-08-20 07:00:00.000 232        -4.00
2013-08-20 08:00:00.000 232        -4.00
2013-08-20 09:00:00.000 232        -3.00
2013-08-20 10:00:00.000 232        -2.00
2013-08-20 11:00:00.000 232        -3.00
2013-08-20 12:00:00.000 232        -5.00
2013-08-20 13:00:00.000 232        -6.00
2013-08-20 14:00:00.000 232        -6.00
2013-08-20 15:00:00.000 232        -3.00
2013-08-20 16:00:00.000 232         0.00
2013-08-20 17:00:00.000 232         2.00
